,Date,Long_rate,Country,Variable_long
17,2012,3.25216666666667,MY,FIGB_PA
18,2013,3.4245,MY,FIGB_PA
19,2014,3.69241666666667,MY,FIGB_PA
20,2015,3.67133333333333,MY,FIGB_PA
21,2016,3.45325,MY,FIGB_PA
22,2017,3.64075,MY,FIGB_PA
23,2018,3.74541666666667,MY,FIGB_PA
24,2019,3.43183333333333,MY,FIGB_PA
25,2020,2.4205,MY,FIGB_PA
0,2013,,MV,FIGB_PA
1,2014,2.4,MV,FIGB_PA
2,2015,2.4,MV,FIGB_PA
3,2016,2.4,MV,FIGB_PA
4,2017,2.4,MV,FIGB_PA
5,2018,2.4,MV,FIGB_PA
6,2019,2.4,MV,FIGB_PA
7,2020,2.4,MV,FIGB_PA
0,2001,6.18833333333333,MT,FIGB_PA
1,2002,5.81916666666667,MT,FIGB_PA
2,2003,5.04166666666667,MT,FIGB_PA
3,2004,4.685,MT,FIGB_PA
4,2005,4.555,MT,FIGB_PA
5,2006,4.31833333333333,MT,FIGB_PA
6,2007,4.72416666666667,MT,FIGB_PA
7,2008,4.80833333333333,MT,FIGB_PA
8,2009,4.54166666666667,MT,FIGB_PA
9,2010,4.1875,MT,FIGB_PA
10,2011,4.48916666666667,MT,FIGB_PA
11,2012,4.12583333333333,MT,FIGB_PA
12,2013,3.3625,MT,FIGB_PA
13,2014,2.61166666666667,MT,FIGB_PA
14,2015,1.4875,MT,FIGB_PA
15,2016,0.885833333333333,MT,FIGB_PA
16,2017,1.37333333333333,MT,FIGB_PA
0,2002,11.17,MU,FIGB_PA
1,2003,9.605,MU,FIGB_PA
2,2004,7.6075,MU,FIGB_PA
3,2005,8.38625,MU,FIGB_PA
4,2006,9.86,MU,FIGB_PA
5,2007,10.1525,MU,FIGB_PA
6,2008,10.1225,MU,FIGB_PA
7,2009,8.90125,MU,FIGB_PA
8,2010,6.93,MU,FIGB_PA
9,2011,6.735,MU,FIGB_PA
10,2012,6.0775,MU,FIGB_PA
11,2013,4.46375,MU,FIGB_PA
12,2014,5.0675,MU,FIGB_PA
13,2015,4.485,MU,FIGB_PA
14,2016,4.11666666666667,MU,FIGB_PA
15,2017,3.63625,MU,FIGB_PA
16,2018,4.8775,MU,FIGB_PA
17,2019,4.19583333333333,MU,FIGB_PA
18,2020,2.18666666666667,MU,FIGB_PA
0,2000,,MX,FIGB_PA
1,2001,11.1599879007864,MX,FIGB_PA
2,2002,10.125,MX,FIGB_PA
3,2003,8.98166666666667,MX,FIGB_PA
4,2004,9.53833333333333,MX,FIGB_PA
5,2005,9.4175,MX,FIGB_PA
6,2006,8.38833333333333,MX,FIGB_PA
7,2007,7.79333333333333,MX,FIGB_PA
8,2008,8.3125,MX,FIGB_PA
9,2009,7.96375,MX,FIGB_PA
10,2010,7.09,MX,FIGB_PA
11,2011,6.66777777777778,MX,FIGB_PA
12,2012,5.59833333333333,MX,FIGB_PA
13,2013,5.6775,MX,FIGB_PA
14,2014,6.01416666666667,MX,FIGB_PA
